"","x"
"CELL340_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL12_N2_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL371_N1_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL2_N2_3T26-1-210413","Glu_10_CA_ALK"
"CELL576_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL415_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL818_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL254_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL186_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL1154_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL1283_N1_3T26-1-210413","Glu_3_CA_FREM1"
"CELL177_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL23_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL1050_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL69_N2_3T26-1-210413","GABA_7_Sst_NPY"
"CELL110_N3_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL512_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL677_N1_3T26-1-210413","Glu_17_CA_CPLX3"
"CELL831_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL245_N2_3T26-1-210413","GABA_2_Pvalb_PLCL1"
"CELL154_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL514_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL1370_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL645_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL1442_N1_3T26-1-210413","GABA_3_Pvalb_PDGFC"
"CELL180_N2_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL20_N2_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL278_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL354_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL721_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL520_N1_3T26-1-210413","GABA_3_Pvalb_PDGFC"
"CELL322_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL491_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL238_N2_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL130_N2_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL1429_N1_3T26-1-210413","Glu_5_CA_SEMA6D"
"CELL84_N2_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL184_N2_3T26-1-210413","Glu_6_CA_CA2"
"CELL473_N1_3T26-1-210413","Glu_10_CA_ALK"
"CELL1101_N1_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL1239_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL427_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
